Christian,Muslim
Australia,67,2.4
China,5.1,1.8
Taiwan,5.5,0
Germany,69,5.8
Hong Kong,14,2
Japan,1.6,0.2
South Korea,29.4,0.2
Netherlands,50.6,6
New Zealand,57,1.2
Poland,94.3,0
Qatar,13.8,67.7
Russia,73.3,10
Singapore,18.2,14.2
Spain,78.6,2.1
Sweden,67.2,4.6
Ukraine,83.8,1.2
United States,78.3,0.9
