1989-1993,1994-1998,1999-2004,2005-2009,2010-2014
Australia,,48,,36,27
China,21,12,18,16,13
Taiwan,,4,,4,6
Germany,28,,30,31,35
Hong Kong,,,,4,5
Japan,14,10,8,6,4
South Korea,20,3,4,2,6
Netherlands,60,,63,56,39
New Zealand,,28,,29,29
Poland,27,5,4,15,13
Russia,31,18,21,11,10
Singapore,,,11,,10
Spain,16,13,24,32,32
Sweden,33,74,78,78,74
Ukraine,,13,6,9,14
United States,24,32,40,20,24
